com.victronenergy.switch.HQ2502N6WNN
13	/SwitchableOutput/pwm_4/Dimming	INT32	22	22%
13	/SwitchableOutput/pwm_4/Dimming	INT32	26	26%
13	/SwitchableOutput/pwm_4/Dimming	INT32	31	31%
13	/SwitchableOutput/pwm_4/Dimming	INT32	38	38%
13	/SwitchableOutput/pwm_4/Dimming	INT32	43	43%
13	/SwitchableOutput/pwm_4/Dimming	INT32	49	49%
13	/SwitchableOutput/pwm_4/Dimming	INT32	54	54%
13	/SwitchableOutput/pwm_4/Dimming	INT32	57	57%
13	/SwitchableOutput/pwm_4/Dimming	INT32	59	59%
13	/SwitchableOutput/pwm_4/Dimming	INT32	61	61%
14	/SwitchableOutput/output_4/Status	INT32	0	Off
14	/SwitchableOutput/output_4/State	INT32	0	0
15	/SwitchableOutput/output_6/Status	INT32	0	Off
15	/SwitchableOutput/output_6/State	INT32	0	0
15	/SwitchableOutput/output_8/Status	INT32	0	Off
15	/SwitchableOutput/output_8/State	INT32	0	0
16	/SwitchableOutput/relay_2/State	INT32	0	0
16	/SwitchableOutput/relay_2/Status	INT32	0	Off
16	/SwitchableOutput/relay_1/State	INT32	0	0
16	/SwitchableOutput/relay_1/Status	INT32	0	Off
17	/SwitchableOutput/pwm_1/Status	INT32	0	Off
17	/SwitchableOutput/pwm_1/State	INT32	0	0
17	/SwitchableOutput/pwm_4/Status	INT32	9	On
17	/SwitchableOutput/pwm_4/State	INT32	1	1
20	/SwitchableOutput/relay_3/Status	INT32	0	Off
20	/SwitchableOutput/relay_3/State	INT32	0	0
29	/SwitchableOutput/output_2/Status	INT32	0	Off
29	/SwitchableOutput/output_2/State	INT32	0	0
31	/SwitchableOutput/pwm_3/Status	INT32	0	Off
31	/SwitchableOutput/pwm_3/State	INT32	0	0
31	/SwitchableOutput/output_1/Status	INT32	0	Off
31	/SwitchableOutput/output_1/State	INT32	0	0
33	/SwitchableOutput/output_3/Status	INT32	9	On
33	/SwitchableOutput/output_3/State	INT32	1	1
